,remark,price,title,flavour,environment,service
0,683,80,蜀仙里火锅(太古里店),8.7,9.2,
1,664,81,大院火老火锅(春熙路店),9.0,9.1,
2,2309,78,逸南山鲜毛肚火锅,8.1,8.8,
3,702,111,大侠行江湖火锅(春熙店),8.7,9.3,
4,1515,81,蜀韵蜀味火锅(春熙店),8.7,9.1,
5,488,67,华兴九号辣铺(春熙总店),8.6,9.2,
6,1460,95,蜀小匠牛排火锅(春熙路总店),8.1,7.5,
7,1244,86,醉码头火锅(春熙路店),8.8,9.1,
8,278,96,鲜炎·炭火火锅,8.1,8.8,
9,1260,75,码头故事火锅(春熙路店),8.8,9.1,
10,3437,84,凤望龙门老火锅(春熙店),8.6,8.6,
11,1416,69,有拈头成都市井火锅(太古里店),7.9,8.0,
12,1266,78,凤望龙门老火锅(盐市口概念店),9.0,9.0,
13,2139,90,春熙里老火锅(春熙总店),8.5,9.0,
14,1182,78,重庆袁老四老火锅(香槟店),8.3,8.5,
15,280,125,大妙火锅(太古里店),8.4,9.1,
16,3323,88,巴蜀大将火锅(春熙店),8.4,8.8,
17,82,76,小春熙老火锅(春熙路店),8.9,9.1,
18,868,76,塘门英雄·美蛙鱼头火锅(春熙路店),8.7,9.0,
19,709,79,龙门飞鱼美蛙鱼头火锅(春熙店),8.7,8.9,
20,2535,83,重庆袁老四老火锅(东升店),8.3,8.3,
21,1707,84,巴蜀大将火锅(IFS店),8.3,8.9,
22,1045,91,牛莽莽老火锅(银石广场店),8.0,8.7,
23,112,63,蜀财神火锅,9.0,9.1,
24,807,81,重庆袁老四老火锅(太古里店),8.2,8.6,
25,552,82,谭鸭血老火锅(王府井直营店),7.7,8.1,
26,528,102,梨园火锅(兰桂坊店),8.2,9.1,
27,1721,80,蜀胡记川西坝子(东门大桥店),8.7,8.8,
28,1187,73,蛙三泡椒牛蛙(春熙银石店),8.3,8.6,
29,1474,76,龙幺妹老火锅(香槟广场店),8.5,8.3,
30,530,63,竹板凳老火锅(春熙店),8.2,8.9,
31,505,59,拿东拿西自助火锅(春熙路店),8.0,8.4,
32,69,58,大蜀龙门火锅(红星路二段总店),7.7,8.7,
33,58,75,五斗柴火锅鲜生(太古里店),8.5,8.0,
34,59,62,灶王爷石锅老火锅,8.5,8.7,
35,340,82,蜀国大师(盐市口店),8.3,9.1,
36,641,88,红鼎坊(总店),8.2,8.0,
37,683,80,蜀仙里火锅(太古里店),8.7,9.2,
38,664,81,大院火老火锅(春熙路店),9.0,9.1,
39,2309,78,逸南山鲜毛肚火锅,8.1,8.8,
40,702,111,大侠行江湖火锅(春熙店),8.7,9.3,
41,1515,81,蜀韵蜀味火锅(春熙店),8.7,9.1,
42,488,67,华兴九号辣铺(春熙总店),8.6,9.2,
43,1460,95,蜀小匠牛排火锅(春熙路总店),8.1,7.5,
44,1244,86,醉码头火锅(春熙路店),8.8,9.1,
45,278,96,鲜炎·炭火火锅,8.1,8.8,
46,1260,75,码头故事火锅(春熙路店),8.8,9.1,
47,3437,84,凤望龙门老火锅(春熙店),8.6,8.6,
48,1416,69,有拈头成都市井火锅(太古里店),7.9,8.0,
49,1266,78,凤望龙门老火锅(盐市口概念店),9.0,9.0,
